,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,Hour,Time
1,2013,2,1,553,600,-7,833,815,18,FL,345,N980AT,LGA,ATL,134,762,6,0,2/1/13 6:00,6,M
2,2013,2,1,553,600,-7,821,825,-4,MQ,4650,N1EAMQ,LGA,ATL,125,762,6,0,2/1/13 6:00,6,M
3,2013,2,1,600,600,0,833,837,-4,DL,461,N666DN,LGA,ATL,129,762,6,0,2/1/13 6:00,6,M
4,2013,2,1,608,615,-7,837,842,-5,DL,575,N340NB,EWR,ATL,125,746,6,15,2/1/13 6:00,6,M
5,2013,2,1,610,615,-5,905,855,10,9E,3856,N176PQ,JFK,ATL,144,760,6,15,2/1/13 6:00,6,M
6,2013,2,1,651,659,-8,929,938,-9,DL,1547,N672DL,LGA,ATL,128,762,6,59,2/1/13 6:00,6,M
50,2013,2,2,555,600,-5,822,815,7,FL,345,N952AT,LGA,ATL,120,762,6,0,2/2/13 6:00,6,M
51,2013,2,2,600,600,0,948,837,NA,DL,461,N3753,LGA,ATL,NA,762,6,0,2/2/13 6:00,6,M
52,2013,2,2,610,615,-5,826,842,-16,DL,575,N342NB,EWR,ATL,112,746,6,15,2/2/13 6:00,6,M
53,2013,2,2,614,615,-1,847,855,-8,9E,3856,N228PQ,JFK,ATL,113,760,6,15,2/2/13 6:00,6,M
85,2013,2,3,556,600,-4,833,815,18,FL,345,N923AT,LGA,ATL,113,762,6,0,2/3/13 6:00,6,M
86,2013,2,3,557,600,-3,836,837,-1,DL,461,N3734B,LGA,ATL,112,762,6,0,2/3/13 6:00,6,M
87,2013,2,3,614,615,-1,844,842,2,DL,575,N355NB,EWR,ATL,111,746,6,15,2/3/13 6:00,6,M
88,2013,2,3,617,615,2,902,855,7,9E,3856,N146PQ,JFK,ATL,107,760,6,15,2/3/13 6:00,6,M
125,2013,2,4,554,600,-6,816,815,1,FL,345,N978AT,LGA,ATL,121,762,6,0,2/4/13 6:00,6,M
126,2013,2,4,558,600,-2,816,837,-21,DL,461,N3760C,LGA,ATL,116,762,6,0,2/4/13 6:00,6,M
127,2013,2,4,601,600,1,823,825,-2,MQ,4650,N501MQ,LGA,ATL,116,762,6,0,2/4/13 6:00,6,M
128,2013,2,4,612,615,-3,832,842,-10,DL,575,N355NB,EWR,ATL,116,746,6,15,2/4/13 6:00,6,M
129,2013,2,4,613,615,-2,851,855,-4,9E,3856,N170PQ,JFK,ATL,120,760,6,15,2/4/13 6:00,6,M
130,2013,2,4,623,630,-7,852,904,-12,DL,2057,N672DL,LGA,ATL,121,762,6,30,2/4/13 6:00,6,M
131,2013,2,4,658,659,-1,942,938,4,DL,1547,N312US,LGA,ATL,123,762,6,59,2/4/13 6:00,6,M
174,2013,2,5,553,600,-7,825,825,0,MQ,4650,N546MQ,LGA,ATL,117,762,6,0,2/5/13 6:00,6,M
175,2013,2,5,554,600,-6,836,837,-1,DL,461,N3773D,LGA,ATL,120,762,6,0,2/5/13 6:00,6,M
176,2013,2,5,603,600,3,856,815,41,FL,345,N926AT,LGA,ATL,120,762,6,0,2/5/13 6:00,6,M
177,2013,2,5,611,615,-4,847,855,-8,9E,3856,N161PQ,JFK,ATL,113,760,6,15,2/5/13 6:00,6,M
178,2013,2,5,612,615,-3,919,842,37,DL,575,N369NB,EWR,ATL,116,746,6,15,2/5/13 6:00,6,M
179,2013,2,5,654,659,-5,942,938,4,DL,1547,N666DN,LGA,ATL,119,762,6,59,2/5/13 6:00,6,M
221,2013,2,6,548,600,-12,859,825,34,MQ,4650,N512MQ,LGA,ATL,145,762,6,0,2/6/13 6:00,6,M
222,2013,2,6,552,600,-8,834,837,-3,DL,461,N3754A,LGA,ATL,115,762,6,0,2/6/13 6:00,6,M
223,2013,2,6,613,615,-2,908,855,13,9E,3856,N228PQ,JFK,ATL,121,760,6,15,2/6/13 6:00,6,M
224,2013,2,6,616,615,1,852,842,10,DL,575,N355NB,EWR,ATL,116,746,6,15,2/6/13 6:00,6,M
